iter	Passed	Remaining
741	81292	53573
742	81403	53465
743	81516	53358
744	81626	53249
745	81739	53141
746	81849	53032
747	81955	52920
748	82065	52811
749	82177	52703
750	82282	52590
751	82390	52480
752	82500	52370
753	82610	52261
754	82720	52152
755	82832	52044
756	82937	51932
757	83044	51820
758	83154	51711
759	83262	51600
760	83368	51489
761	83479	51380
762	83595	51274
763	83705	51165
764	83824	51061
765	83939	50955
766	84052	50847
767	84164	50739
768	84282	50635
769	84390	50524
770	84504	50417
771	84619	50311
772	84743	50210
773	84851	50099
774	84959	49988
775	85074	49882
776	85184	49773
777	85297	49665
778	85406	49555
779	85516	49446
780	85633	49340
781	85755	49238
782	85876	49134
783	85982	49023
784	86093	48914
785	86205	48805
786	86314	48695
787	86415	48581
788	86518	48468
789	86628	48358
790	86730	48244
791	86848	48139
792	86958	48030
793	87066	47919
794	87173	47808
795	87296	47706
796	87420	47603
797	87531	47495
798	87639	47384
799	87746	47273
800	87853	47162
801	87965	47053
802	88074	46944
803	88188	46836
804	88294	46725
805	88401	46613
806	88504	46500
807	88612	46390
808	88723	46280
809	88831	46170
810	88933	46056
811	89044	45947
812	89148	45835
813	89257	45725
814	89360	45612
815	89464	45499
816	89573	45389
817	89681	45279
818	89792	45170
819	89897	45058
820	90005	44948
821	90109	44835
822	90233	44733
823	90351	44627
824	90457	44516
825	90571	44408
826	90680	44298
827	90800	44193
828	90913	44085
829	91025	43977
830	91131	43866
831	91245	43758
832	91355	43648
833	91463	43538
834	91570	43427
835	91675	43315
836	91799	43212
837	91913	43105
838	92025	42996
839	92143	42890
840	92259	42783
841	92366	42672
842	92474	42562
843	92583	42452
844	92695	42343
845	92810	42236
846	92927	42130
847	93038	42020
848	93154	41913
849	93261	41803
850	93360	41688
851	93460	41574
852	93576	41467
853	93687	41358
854	93797	41248
855	93911	41141
856	94028	41034
857	94148	40929
858	94262	40821
859	94381	40715
860	94495	40607
861	94610	40500
862	94725	40392
863	94831	40281
864	94949	40175
865	95066	40068
866	95174	39957
867	95286	39848
868	95389	39736
869	95501	39627
870	95613	39518
871	95721	39408
872	95825	39295
873	95977	39203
874	96091	39095
875	96203	38986
876	96310	38875
877	96416	38764
878	96534	38657
879	96644	38548
880	96765	38442
881	96876	38333
882	96990	38224
883	97103	38116
884	97219	38008
885	97331	37899
886	97446	37792
887	97556	37682
888	97669	37573
889	97772	37461
890	97880	37350
891	97993	37241
892	98105	37132
893	98211	37021
894	98319	36910
895	98425	36799
896	98540	36691
897	98654	36583
898	98766	36474
899	98875	36364
900	98986	36254
901	99095	36144
902	99203	36034
903	99318	35926
904	99432	35817
905	99544	35708
906	99657	35599
907	99769	35490
908	99882	35381
909	99987	35270
910	100094	35159
911	100206	35050
912	100314	34939
913	100423	34829
914	100534	34720
915	100651	34612
916	100756	34501
917	100864	34390
918	100976	34281
919	101089	34172
920	101208	34065
921	101328	33959
922	101438	33849
923	101552	33741
924	101664	33631
925	101773	33521
926	101894	33415
927	102003	33304
928	102112	33194
929	102227	33086
930	102339	32977
931	102459	32870
932	102573	32762
933	102685	32652
934	102790	32541
935	102900	32431
936	103008	32320
937	103121	32211
938	103230	32101
939	103337	31990
940	103450	31881
941	103559	31771
942	103667	31661
943	103778	31551
944	103899	31444
945	104004	31333
946	104116	31224
947	104237	31117
948	104341	31005
949	104446	30894
950	104554	30783
951	104666	30674
952	104779	30565
953	104895	30457
954	105005	30347
955	105142	30244
956	105250	30134
957	105356	30023
958	105469	29914
959	105583	29805
960	105696	29696
961	105814	29588
962	105927	29479
963	106038	29369
964	106149	29259
965	106264	29151
966	106379	29042
967	106493	28933
968	106599	28822
969	106710	28712
970	106818	28602
971	106929	28492
972	107038	28382
973	107150	28272
974	107261	28162
975	107367	28052
976	107478	27942
977	107593	27833
978	107702	27723
979	107813	27613
980	107913	27500
981	108021	27390
982	108130	27280
983	108234	27168
984	108332	27055
985	108443	26945
986	108547	26834
